,trace_id,svc_name,cluster_id,my_span_id,parent_span_id,load,last_load,avg_load,st,et,rt,call_size
108,d59c8af2fbe532431643ae27a42444dc,details-v1,0,150584da52a2cc01,1643ae27a42444dc,15,15,15,1697157722735,1697157722743,8,0
109,d59c8af2fbe532431643ae27a42444dc,productpage-v1,0,1643ae27a42444dc,,22,22,22,1697157722715,1697157722773,58,0
110,d59c8af2fbe532431643ae27a42444dc,reviews-v3,0,18e715bd641fc1de,1643ae27a42444dc,10,10,10,1697157722765,1697157722769,4,0
111,2f00ebc81b50f7822692b48a8d89e705,ratings-v1,0,f7312112e3d81911,d7260f82a96bc8f3,19,19,19,1697157722795,1697157722796,1,0
112,2f00ebc81b50f7822692b48a8d89e705,details-v1,0,e7cb651133c6916f,2692b48a8d89e705,16,16,16,1697157722773,1697157722779,6,0
113,2f00ebc81b50f7822692b48a8d89e705,productpage-v1,0,2692b48a8d89e705,,23,23,23,1697157722752,1697157722804,52,0
114,2f00ebc81b50f7822692b48a8d89e705,reviews-v3,0,d7260f82a96bc8f3,2692b48a8d89e705,10,10,10,1697157722792,1697157722799,7,0
115,2b1c802985f462b0917a77ba32962406,ratings-v1,0,94ce2938260bba28,18f7a24d8cf97b39,19,19,19,1697157722804,1697157722805,1,0
116,2b1c802985f462b0917a77ba32962406,details-v1,0,a04f309d2beb27a9,917a77ba32962406,16,16,16,1697157722783,1697157722785,2,0
117,2b1c802985f462b0917a77ba32962406,productpage-v1,0,917a77ba32962406,,22,22,22,1697157722772,1697157722813,41,0
118,2b1c802985f462b0917a77ba32962406,reviews-v3,0,18f7a24d8cf97b39,917a77ba32962406,10,10,10,1697157722802,1697157722808,6,0
119,892e3489b868c92e4f43952a2ac64fcc,ratings-v1,0,cad5e6257afa799a,a9c97cc096952d7b,19,19,19,1697157722809,1697157722810,1,0
120,892e3489b868c92e4f43952a2ac64fcc,details-v1,0,759bfd6d2e9562dc,4f43952a2ac64fcc,16,16,16,1697157722792,1697157722795,3,0
121,892e3489b868c92e4f43952a2ac64fcc,productpage-v1,0,4f43952a2ac64fcc,,22,22,22,1697157722773,1697157722815,42,0
