,svc_name,my_span_id,parent_span_id,trace_id,cluster_id,load,last_load,avg_load,rps,st,et,rt,xt,ct,child_spans,critical_child_spans,call_size,depth
39,productpage-v1,cf6383c1,,197ed55226cf9807cf6383c15d5ffe6c,0,4,2,3,0,0,30,30,21,21,"[<span.Span object at 0x7f2f356ad9a0>, <span.Span object at 0x7f2f356ad8b0>]","[<span.Span object at 0x7f2f356ad9a0>, <span.Span object at 0x7f2f356ad8b0>]",10,1
40,details-v1,ad14b8b3,449d819c,a501e7c1e24e0d73449d819c4412c6e4,0,1,1,1,0,8,10,2,2,2,[],[],20,2
41,ratings-v1,18a3496a,c420846d,a501e7c1e24e0d73449d819c4412c6e4,0,1,1,1,0,20,21,1,1,1,[],[],30,3
42,productpage-v1,449d819c,,a501e7c1e24e0d73449d819c4412c6e4,0,3,2,2,0,0,26,26,18,18,"[<span.Span object at 0x7f2f356886d0>, <span.Span object at 0x7f2f356885b0>]","[<span.Span object at 0x7f2f356885b0>, <span.Span object at 0x7f2f356886d0>]",10,1
43,reviews-v3,c420846d,449d819c,a501e7c1e24e0d73449d819c4412c6e4,0,1,1,1,0,17,23,6,5,5,[<span.Span object at 0x7f2f35688670>],[<span.Span object at 0x7f2f35688670>],20,2
44,reviews-v3,bbab4e4e,ad0fc25c,4250693b642893d6ad0fc25c6257fdc5,0,3,1,2,0,33,41,8,5,5,[<span.Span object at 0x7f2f356f0c10>],[<span.Span object at 0x7f2f356f0c10>],20,2
45,details-v1,66eae439,ad0fc25c,4250693b642893d6ad0fc25c6257fdc5,0,1,1,1,0,16,20,4,4,4,[],[],20,2
46,ratings-v1,d4700a24,bbab4e4e,4250693b642893d6ad0fc25c6257fdc5,0,1,1,1,0,36,39,3,3,3,[],[],30,3
47,productpage-v1,ad0fc25c,,4250693b642893d6ad0fc25c6257fdc5,0,4,3,3,0,0,50,50,38,38,"[<span.Span object at 0x7f2f356f0be0>, <span.Span object at 0x7f2f356f0bb0>]","[<span.Span object at 0x7f2f356f0be0>, <span.Span object at 0x7f2f356f0bb0>]",10,1
48,reviews-v3,0ee8f82c,f17bc221,b0059db9b032f7f6f17bc2210545e018,0,1,1,1,0,40,44,4,3,3,[<span.Span object at 0x7f2f356f0670>],[<span.Span object at 0x7f2f356f0670>],20,2
49,details-v1,fd22cb68,f17bc221,b0059db9b032f7f6f17bc2210545e018,0,1,1,1,0,22,25,3,3,3,[],[],20,2
50,ratings-v1,29a9cb92,0ee8f82c,b0059db9b032f7f6f17bc2210545e018,0,1,1,1,0,42,43,1,1,1,[],[],30,3
51,productpage-v1,f17bc221,,b0059db9b032f7f6f17bc2210545e018,0,5,3,4,0,0,48,48,41,41,"[<span.Span object at 0x7f2f356f0790>, <span.Span object at 0x7f2f356f06a0>]","[<span.Span object at 0x7f2f356f0790>, <span.Span object at 0x7f2f356f06a0>]",10,1
52,reviews-v3,0b55ab30,16238650,9396bc195da091c7162386506a3e79ea,0,1,1,1,0,16,22,6,5,5,[<span.Span object at 0x7f2f356f0070>],[<span.Span object at 0x7f2f356f0070>],20,2
53,details-v1,88d7c018,16238650,9396bc195da091c7162386506a3e79ea,0,1,1,1,0,8,11,3,3,3,[],[],20,2
54,ratings-v1,b81d85fc,0b55ab30,9396bc195da091c7162386506a3e79ea,0,1,1,1,0,19,20,1,1,1,[],[],30,3
55,productpage-v1,16238650,,9396bc195da091c7162386506a3e79ea,0,3,2,2,0,0,24,24,15,15,"[<span.Span object at 0x7f2f356f0250>, <span.Span object at 0x7f2f356f01f0>]","[<span.Span object at 0x7f2f356f0250>, <span.Span object at 0x7f2f356f01f0>]",10,1
56,details-v1,b85d8041,feb093c3,d495675ef881cff7feb093c3e74eb7c4,0,1,1,1,0,23,25,2,2,2,[],[],20,2
57,ratings-v1,fc8ce3d3,c271aece,d495675ef881cff7feb093c3e74eb7c4,0,1,1,1,0,43,43,0,0,0,[],[],30,3
58,productpage-v1,feb093c3,,d495675ef881cff7feb093c3e74eb7c4,0,6,3,4,0,0,47,47,41,41,"[<span.Span object at 0x7f2f356e33a0>, <span.Span object at 0x7f2f356e32e0>]","[<span.Span object at 0x7f2f356e32e0>, <span.Span object at 0x7f2f356e33a0>]",10,1
59,reviews-v3,c271aece,feb093c3,d495675ef881cff7feb093c3e74eb7c4,0,1,1,1,0,41,45,4,4,4,[<span.Span object at 0x7f2f356e3370>],[<span.Span object at 0x7f2f356e3370>],20,2
60,details-v1,42d1184b,6c591b45,ba2a72ba0935a5816c591b45f3eaa6f4,0,1,1,1,0,7,9,2,2,2,[],[],20,2
61,ratings-v1,eb1564f1,5be5b287,ba2a72ba0935a5816c591b45f3eaa6f4,0,1,1,1,0,18,19,1,1,1,[],[],30,3
62,productpage-v1,6c591b45,,ba2a72ba0935a5816c591b45f3eaa6f4,0,4,3,3,0,0,25,25,16,16,"[<span.Span object at 0x7f2f35726ca0>, <span.Span object at 0x7f2f35726be0>]","[<span.Span object at 0x7f2f35726be0>, <span.Span object at 0x7f2f35726ca0>]",10,1
63,reviews-v3,5be5b287,6c591b45,ba2a72ba0935a5816c591b45f3eaa6f4,0,1,1,1,0,15,22,7,6,6,[<span.Span object at 0x7f2f35726c70>],[<span.Span object at 0x7f2f35726c70>],20,2
64,ratings-v1,5a1b413c,a1641539,5e95c8c2d3dab51650b5cf14ea456717,0,1,1,1,0,23,26,3,3,3,[],[],30,3
65,productpage-v1,50b5cf14,,5e95c8c2d3dab51650b5cf14ea456717,0,3,4,3,0,0,37,37,27,27,"[<span.Span object at 0x7f2f35726fd0>, <span.Span object at 0x7f2f35726eb0>]","[<span.Span object at 0x7f2f35726fd0>, <span.Span object at 0x7f2f35726eb0>]",10,1
66,reviews-v3,a1641539,50b5cf14,5e95c8c2d3dab51650b5cf14ea456717,0,1,1,1,0,20,28,8,5,5,[<span.Span object at 0x7f2f35726250>],[<span.Span object at 0x7f2f35726250>],20,2
67,details-v1,d97539cb,50b5cf14,5e95c8c2d3dab51650b5cf14ea456717,0,1,1,1,0,11,13,2,2,2,[],[],20,2
68,details-v1,efd1d067,d970823f,1303eca6734231fcd970823f5d6a495e,0,1,1,1,0,26,27,1,1,1,[],[],20,2
69,ratings-v1,1ca86efd,dc1d320e,1303eca6734231fcd970823f5d6a495e,0,1,1,1,0,42,43,1,1,1,[],[],30,3
70,productpage-v1,d970823f,,1303eca6734231fcd970823f5d6a495e,0,4,5,4,0,0,59,59,54,54,"[<span.Span object at 0x7f2f3570d430>, <span.Span object at 0x7f2f3570d370>]","[<span.Span object at 0x7f2f3570d370>, <span.Span object at 0x7f2f3570d430>]",10,1
71,reviews-v3,dc1d320e,d970823f,1303eca6734231fcd970823f5d6a495e,0,2,2,2,0,40,44,4,3,3,[<span.Span object at 0x7f2f3570d490>],[<span.Span object at 0x7f2f3570d490>],20,2
72,details-v1,c4d66402,1a4f8876,dc83609a0eb9ac5b1a4f887635ac627f,0,1,1,1,0,8,10,2,2,2,[],[],20,2
73,ratings-v1,87280000,f6af44fd,dc83609a0eb9ac5b1a4f887635ac627f,0,1,1,1,0,29,30,1,1,1,[],[],30,3
74,productpage-v1,1a4f8876,,dc83609a0eb9ac5b1a4f887635ac627f,0,4,3,3,0,0,39,39,32,32,"[<span.Span object at 0x7f2f35702190>, <span.Span object at 0x7f2f35702e50>]","[<span.Span object at 0x7f2f35702e50>, <span.Span object at 0x7f2f35702190>]",10,1
75,reviews-v3,f6af44fd,1a4f8876,dc83609a0eb9ac5b1a4f887635ac627f,0,2,1,1,0,26,31,5,4,4,[<span.Span object at 0x7f2f35702160>],[<span.Span object at 0x7f2f35702160>],20,2
76,reviews-v3,792d819f,9c243b65,4cd5447a46390aeb9c243b652e69e62c,0,2,1,1,0,19,25,6,5,5,[<span.Span object at 0x7f2f357b8760>],[<span.Span object at 0x7f2f357b8760>],20,2
77,details-v1,03f0ef28,9c243b65,4cd5447a46390aeb9c243b652e69e62c,0,1,1,1,0,9,11,2,2,2,[],[],20,2
78,ratings-v1,271cdb7f,792d819f,4cd5447a46390aeb9c243b652e69e62c,0,1,1,1,0,22,23,1,1,1,[],[],30,3
79,productpage-v1,9c243b65,,4cd5447a46390aeb9c243b652e69e62c,0,4,3,3,0,0,31,31,23,23,"[<span.Span object at 0x7f2f357b87f0>, <span.Span object at 0x7f2f357b8850>]","[<span.Span object at 0x7f2f357b87f0>, <span.Span object at 0x7f2f357b8850>]",10,1
80,ratings-v1,da2391b6,3d0df728,d7951934916785ef242b4304c938ecb0,0,1,1,1,0,20,21,1,1,1,[],[],30,3
81,productpage-v1,242b4304,,d7951934916785ef242b4304c938ecb0,0,3,2,2,0,0,26,26,18,18,"[<span.Span object at 0x7f2f357ef6d0>, <span.Span object at 0x7f2f357ef6a0>]","[<span.Span object at 0x7f2f357ef6d0>, <span.Span object at 0x7f2f357ef6a0>]",10,1
82,reviews-v3,3d0df728,242b4304,d7951934916785ef242b4304c938ecb0,0,1,1,1,0,18,23,5,4,4,[<span.Span object at 0x7f2f357ef760>],[<span.Span object at 0x7f2f357ef760>],20,2
83,details-v1,68f4618c,242b4304,d7951934916785ef242b4304c938ecb0,0,1,1,1,0,8,11,3,3,3,[],[],20,2
84,productpage-v1,b3daf0ef,,1d773fea8bebb6f0b3daf0eff9f2df37,0,4,3,3,0,0,33,33,25,25,"[<span.Span object at 0x7f2f357e2f70>, <span.Span object at 0x7f2f357e2ee0>]","[<span.Span object at 0x7f2f357e2f70>, <span.Span object at 0x7f2f357e2ee0>]",10,1
